Urun_ID,Ana_Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Kaynak_Site,Segment,Kullanim_Amaci,Ozellikler,Enerji_Sinifi,Renk,Garanti_Ay,Puan,Yorum_Sayisi,Stok_Durumu,Elektrikli_Mi,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link,Topluluk_Puani,Populerlik
EV-00001,Akıllı Ev Sistemleri,Akıllı Sensör,Xiaomi,Xiaomi Akıllı Sensör XIA-AKI-0001,575,Trendyol,Üst,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",C,Beyaz,12,61,12081,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0001,https://www.hepsiburada.com/ara?q=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0001,https://www.amazon.com.tr/s?k=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0001,https://www.teknosa.com/arama/?s=Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0001,https://www.vatanbilgisayar.com/arama/Xiaomi+Ak%C4%B1ll%C4%B1+Sens%C3%B6r+XIA-AKI-0001,61,Çok Yüksek
EV-00002,İçecek Hazırlama,Türk Kahve Makinesi,Arçelik,Arçelik Türk Kahve Makinesi ARÇ-TÜR-0002,1550,Trendyol,Orta,Pratik Kullanım,"1207 W, çelik gövde",C,Mor,24,50,449,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Ar%C3%A7elik+T%C3%BCrk+Kahve+Makinesi+AR%C3%87-T%C3%9CR-0002,https://www.hepsiburada.com/ara?q=Ar%C3%A7elik+T%C3%BCrk+Kahve+Makinesi+AR%C3%87-T%C3%9CR-0002,https://www.amazon.com.tr/s?k=Ar%C3%A7elik+T%C3%BCrk+Kahve+Makinesi+AR%C3%87-T%C3%9CR-0002,https://www.teknosa.com/arama/?s=Ar%C3%A7elik+T%C3%BCrk+Kahve+Makinesi+AR%C3%87-T%C3%9CR-0002,https://www.vatanbilgisayar.com/arama/Ar%C3%A7elik+T%C3%BCrk+Kahve+Makinesi+AR%C3%87-T%C3%9CR-0002,50,Yüksek
EV-00003,Akıllı Ev Sistemleri,Akıllı Kamera,Tapo,Tapo Akıllı Kamera TAP-AKI-0003,11800,n11,Giriş,Akıllı Ev,"Wi-Fi/Bluetooth, mobil uygulama, Alexa uyumlu",A+,Gri,24,53,11453,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Tapo+Ak%C4%B1ll%C4%B1+Kamera+TAP-AKI-0003,https://www.hepsiburada.com/ara?q=Tapo+Ak%C4%B1ll%C4%B1+Kamera+TAP-AKI-0003,https://www.amazon.com.tr/s?k=Tapo+Ak%C4%B1ll%C4%B1+Kamera+TAP-AKI-0003,https://www.teknosa.com/arama/?s=Tapo+Ak%C4%B1ll%C4%B1+Kamera+TAP-AKI-0003,https://www.vatanbilgisayar.com/arama/Tapo+Ak%C4%B1ll%C4%B1+Kamera+TAP-AKI-0003,53,Orta
EV-00004,İçecek Hazırlama,Su Isıtıcı & Kettle,Philips,Philips Su Isıtıcı & Kettle PHI-SU -0004,3250,Teknosa,Giriş,Ev Kullanımı,"888 W, çelik gövde",A,Beyaz,36,68,9906,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Philips+Su+Is%C4%B1t%C4%B1c%C4%B1+%26+Kettle+PHI-SU+-0004,https://www.hepsiburada.com/ara?q=Philips+Su+Is%C4%B1t%C4%B1c%C4%B1+%26+Kettle+PHI-SU+-0004,https://www.amazon.com.tr/s?k=Philips+Su+Is%C4%B1t%C4%B1c%C4%B1+%26+Kettle+PHI-SU+-0004,https://www.teknosa.com/arama/?s=Philips+Su+Is%C4%B1t%C4%B1c%C4%B1+%26+Kettle+PHI-SU+-0004,https://www.vatanbilgisayar.com/arama/Philips+Su+Is%C4%B1t%C4%B1c%C4%B1+%26+Kettle+PHI-SU+-0004,68,Yüksek
EV-00005,Aydınlatma Ürünleri,LED Şerit,Cata,Cata LED Şerit CAT-LED-0005,4350,n11,Fiyat/Performans,Pratik Kullanım,"RGB, 6 W, dimmer destekli",C,Inox,24,52,3165,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Cata+LED+%C5%9Eerit+CAT-LED-0005,https://www.hepsiburada.com/ara?q=Cata+LED+%C5%9Eerit+CAT-LED-0005,https://www.amazon.com.tr/s?k=Cata+LED+%C5%9Eerit+CAT-LED-0005,https://www.teknosa.com/arama/?s=Cata+LED+%C5%9Eerit+CAT-LED-0005,https://www.vatanbilgisayar.com/arama/Cata+LED+%C5%9Eerit+CAT-LED-0005,52,Orta
EV-00006,Mutfak,Blender,Bosch,Bosch Blender BOS-BLE-0006,2250,Teknosa,Premium,Günlük Kullanım,"1158 W, çelik bıçak",A++,Krem,24,65,5992,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Bosch+Blender+BOS-BLE-0006,https://www.hepsiburada.com/ara?q=Bosch+Blender+BOS-BLE-0006,https://www.amazon.com.tr/s?k=Bosch+Blender+BOS-BLE-0006,https://www.teknosa.com/arama/?s=Bosch+Blender+BOS-BLE-0006,https://www.vatanbilgisayar.com/arama/Bosch+Blender+BOS-BLE-0006,65,Çok Yüksek
EV-00007,Aydınlatma Ürünleri,Akıllı Ampul,Yeelight,Yeelight Akıllı Ampul YEE-AKI-0007,1850,MediaMarkt,Orta,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",A++,Lacivert,24,53,10500,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Yeelight+Ak%C4%B1ll%C4%B1+Ampul+YEE-AKI-0007,https://www.hepsiburada.com/ara?q=Yeelight+Ak%C4%B1ll%C4%B1+Ampul+YEE-AKI-0007,https://www.amazon.com.tr/s?k=Yeelight+Ak%C4%B1ll%C4%B1+Ampul+YEE-AKI-0007,https://www.teknosa.com/arama/?s=Yeelight+Ak%C4%B1ll%C4%B1+Ampul+YEE-AKI-0007,https://www.vatanbilgisayar.com/arama/Yeelight+Ak%C4%B1ll%C4%B1+Ampul+YEE-AKI-0007,53,Orta
EV-00008,İçecek Hazırlama,Türk Kahve Makinesi,Korkmaz,Korkmaz Türk Kahve Makinesi KOR-TÜR-0008,3050,Teknosa,Premium,Pratik Kullanım,"1444 W, otomatik kapanma",C,Turuncu,36,52,9307,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Korkmaz+T%C3%BCrk+Kahve+Makinesi+KOR-T%C3%9CR-0008,https://www.hepsiburada.com/ara?q=Korkmaz+T%C3%BCrk+Kahve+Makinesi+KOR-T%C3%9CR-0008,https://www.amazon.com.tr/s?k=Korkmaz+T%C3%BCrk+Kahve+Makinesi+KOR-T%C3%9CR-0008,https://www.teknosa.com/arama/?s=Korkmaz+T%C3%BCrk+Kahve+Makinesi+KOR-T%C3%9CR-0008,https://www.vatanbilgisayar.com/arama/Korkmaz+T%C3%BCrk+Kahve+Makinesi+KOR-T%C3%9CR-0008,52,Yüksek
EV-00009,Süpürgeler,Islak Kuru Süpürge,Arzum,Arzum Islak Kuru Süpürge ARZ-ISL-0009,6300,Amazon Türkiye,Orta,Pratik Kullanım,"2894 W motor, Siklon filtre, Kablolu",A+,Inox,24,52,4319,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0009,https://www.hepsiburada.com/ara?q=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0009,https://www.amazon.com.tr/s?k=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0009,https://www.teknosa.com/arama/?s=Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0009,https://www.vatanbilgisayar.com/arama/Arzum+Islak+Kuru+S%C3%BCp%C3%BCrge+ARZ-ISL-0009,52,Orta
EV-00010,İçecek Hazırlama,Çay Makinesi,Schafer,Schafer Çay Makinesi SCH-ÇAY-0010,1000,Trendyol,Giriş,Ev Kullanımı,"2021 W, otomatik kapanma",A,Mor,12,45,11164,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Schafer+%C3%87ay+Makinesi+SCH-%C3%87AY-0010,https://www.hepsiburada.com/ara?q=Schafer+%C3%87ay+Makinesi+SCH-%C3%87AY-0010,https://www.amazon.com.tr/s?k=Schafer+%C3%87ay+Makinesi+SCH-%C3%87AY-0010,https://www.teknosa.com/arama/?s=Schafer+%C3%87ay+Makinesi+SCH-%C3%87AY-0010,https://www.vatanbilgisayar.com/arama/Schafer+%C3%87ay+Makinesi+SCH-%C3%87AY-0010,45,Düşük
